Class_ID,Subject_ID,Faculty_ID,Hours,Room_Type
EE-1,DEVC,M4,6,Theory
EE-1,EP,P5,5,Theory
EE-1,ECA-I,EE7,5,Theory
EE-1,CE,E4,4,Theory
EE-1,EP Lab,P5,3,Lab
EE-1,CE Lab,E4,3,Lab
EE-1,EWS,ME6,2,Theory
EE-1,ITWS,IT1,2,Theory
EE-1,HWYS,PD,2,Theory
EE-1,LIB,LIB,1,Theory
EE-1,BCME,ME3,5,Theory
EE-1,EC Lab,EE7,3,Lab
EE-2,DEVC,M5,6,Theory
EE-2,EP,P4,5,Theory
EE-2,ECA-I,EE7,5,Theory
EE-2,CE,E5,4,Theory
EE-2,EP Lab,P4,3,Lab
EE-2,CE Lab,E5,3,Lab
EE-2,EWS,ME7,2,Theory
EE-2,ITWS,IT1,2,Theory
EE-2,HWYS,PD,2,Theory
EE-2,LIB,LIB,1,Theory
EE-2,BCME,ME2,5,Theory
EE-2,EC Lab,EE1,3,Lab
EC-1,DEVC,M3,6,Theory
EC-1,EP,P3,5,Theory
EC-1,NA,EE8,5,Theory
EC-1,CE,E1,4,Theory
EC-1,NAS/EP Lab,P3 EE11,6,Lab
EC-1,CE Lab,E1,3,Lab
EC-1,EWS,ME4,2,Theory
EC-1,ITWS,CS6,2,Theory
EC-1,HWYS,PD,2,Theory
EC-1,LIB,LIB,1,Theory
EC-1,BCME,ME10,5,Theory

EC-2,DEVC,M3,6,Theory
EC-2,EP,P2,5,Theory
EC-2,NA,EE9,5,Theory
EC-2,CE,E2,4,Theory
EC-2,EP Lab,P2,3,Lab
EC-2,CE Lab,E2,3,Lab
EC-2,EWS,ME8,2,Theory
EC-2,ITWS,CS6,2,Theory
EC-2,HWYS,PD,2,Theory
EC-2,LIB,LIB,1,Theory
EC-2,BCME,ME10,5,Theory
EC-2,NAS Lab,EE2,3,Lab
EC-3,DEVC,M3,6,Theory
EC-3,EP,P1,5,Theory
EC-3,NA,EE8,5,Theory
EC-3,CE,E3,4,Theory
EC-3,EP Lab,P1,3,Lab
EC-3,CE Lab,E3,3,Lab
EC-3,EWS,ME9,2,Theory
EC-3,ITWS,CS6,2,Theory
EC-3,HWYS,PD,2,Theory
EC-3,LIB,LIB,1,Theory
EC-3,BCME,ME1,5,Theory
EC-3,NAS Lab,EE11,3,Lab
CS-1,DEVC,M7,6,Theory
CS-1,DS,CS1,6,Theory
CS-1,CHE,C2,6,Theory
CS-1,BEEE,EC1,5,Theory
CS-1,EGT,ME3,2,Theory
CS-1,EGP,ME3,3,Lab
CS-1,CHE Lab,C5,3,Lab
CS-1,DS Lab,CS1,3,Lab
CS-1,EEEWS,EC1,3,Lab
CS-1,NSS,C5,2,Theory
CS-1,LIB,LIB,2,Theory
CS-2,DEVC,M7,6,Theory
CS-2,DS,CS2,6,Theory
CS-2,CHE,C1,6,Theory
CS-2,BEEE,EC1,5,Theory
CS-2,EGT,ME4,2,Theory
CS-2,EGP,ME4,3,Lab
CS-2,CHE Lab,C1,3,Lab
CS-2,DS Lab,CS2,3,Lab
CS-2,EEEWS,EC4,3,Lab
CS-2,NSS,C1,2,Theory
CS-2,LIB,LIB,2,Theory
CS-3,DEVC,M5,6,Theory
CS-3,DS,CS3,6,Theory
CS-3,CHE,C4,6,Theory
CS-3,BEEE,EC1,5,Theory
CS-3,EGT,ME6,2,Theory
CS-3,EGP,ME6,3,Lab
CS-3,CHE Lab,C4,3,Lab
CS-3,DS Lab,CS3,3,Lab
CS-3,EEEWS,EC5,3,Lab
CS-3,NSS,M5,2,Theory
CS-3,LIB,LIB,2,Theory
CS-4,DEVC,M5,6,Theory
CS-4,DS,CS3,6,Theory
CS-4,CHE,C3,6,Theory
CS-4,BEEE,EC2,5,Theory
CS-4,EGT,ME6,2,Theory
CS-4,EGP,ME6,3,Lab
CS-4,CHE Lab,C3,3,Lab
CS-4,DS Lab,CS3,3,Lab
CS-4,EEEWS,EC6,3,Lab
CS-4,NSS,C3,2,Theory
CS-4,LIB,LIB,2,Theory
CS-5,DEVC,M6,6,Theory
CS-5,DS,CS2,6,Theory
CS-5,CHE,C5,6,Theory
CS-5,BEEE,EC2,5,Theory
CS-5,EGT,ME4,2,Theory
CS-5,EGP,ME4,3,Lab
CS-5,CHE Lab,C5,3,Lab
CS-5,DS Lab,CS2,3,Lab
CS-5,EEEWS,EC3,3,Lab
CS-5,NSS,M6,2,Theory
CS-5,LIB,LIB,2,Theory
IT-1,DEVC,M6,6,Theory
IT-1,DS,IT2,6,Theory
IT-1,CHE,C4,6,Theory
IT-1,BEEE,EC3,5,Theory
IT-1,EGT,ME6,2,Theory
IT-1,EGP,ME6,3,Lab
IT-1,CHE Lab,C4,3,Lab
IT-1,DS Lab,IT2,3,Lab
IT-1,EEEWS,EC3,3,Lab
IT-1,NSS,C4,2,Theory
IT-1,LIB,LIB,2,Theory
CA-1,DEVC,M1,6,Theory
CA-1,DS,CS4,6,Theory
CA-1,CHE,C2,6,Theory
CA-1,BEEE,EE1,5,Theory
CA-1,EGT,ME2,2,Theory
CA-1,EGP,ME2,3,Lab
CA-1,CHE Lab,C2,3,Lab
CA-1,DS Lab,CS4,3,Lab
CA-1,EEEWS,EE13,3,Lab
CA-1,NSS,C2,2,Theory
CA-1,LIB,LIB,2,Theory
CA-2,DEVC,M1,6,Theory
CA-2,DS,CS5,6,Theory
CA-2,CHE,C1,6,Theory
CA-2,BEEE,EE2,5,Theory
CA-2,EGT,ME7,2,Theory
CA-2,EGP,ME7,3,Lab
CA-2,CHE Lab,C1,3,Lab
CA-2,DS Lab,CS5,3,Lab
CA-2,EEEWS,EE3,3,Lab
CA-2,NSS,M1,2,Theory
CA-2,LIB,LIB,2,Theory
CA-3,DEVC,M2,6,Theory
CA-3,DS,CS5,6,Theory
CA-3,CHE,C6,6,Theory
CA-3,BEEE,EE6,5,Theory
CA-3,EGT,ME4,2,Theory
CA-3,EGP,ME4,3,Lab
CA-3,CHE Lab,C6,3,Lab
CA-3,DS Lab,CS5,3,Lab
CA-3,EEEWS,EE6,3,Lab
CA-3,NSS,M2,2,Theory
CA-3,LIB,LIB,2,Theory
CA-4,DEVC,M2,6,Theory
CA-4,DS,CS4,6,Theory
CA-4,CHE,C6,6,Theory
CA-4,BEEE,EE4,5,Theory
CA-4,EGT,ME7,2,Theory
CA-4,EGP,ME7,3,Lab
CA-4,CHE Lab,C6,3,Lab
CA-4,DS Lab,CS4,3,Lab
CA-4,EEEWS,EE6,3,Lab
CA-4,NSS,C6,2,Theory
CA-4,LIB,LIB,2,Theory
CA-5,DEVC,M4,6,Theory
CA-5,DS,CS1,6,Theory
CA-5,CHE,C3,6,Theory
CA-5,BEEE,EE5,5,Theory
CA-5,EGT,ME7,2,Theory
CA-5,EGP,ME7,3,Lab
CA-5,CHE Lab,C3,3,Lab
CA-5,DS Lab,CS1,3,Lab
CA-5,EEEWS,EE13,3,Lab
CA-5,NSS,M4,2,Theory
CA-5,LIB,LIB,2,Theory



